Days_Count,population,Area,Density,count
13,2,2.5,0.8,104
14,2,2.5,0.8,106
1,5,2.5,2.0,0
2,5,2.5,2.0,2
3,5,2.5,2.0,6
4,5,2.5,2.0,18
6,4,2.5,1.6,47
7,4,2.5,1.6,58
8,4,2.5,1.6,68
9,3,2.5,1.2,79
10,2,2.5,0.8,94
11,2,2.5,0.8,102
12,2,2.5,0.8,108
13,2,2.5,0.8,112
14,2,2.5,0.8,116
15,2,2.5,0.8,122
16,2,2.5,0.8,128
17,2,2.5,0.8,132
18,2,2.5,0.8,135
19,1,2.5,0.4,136
20,1,2.5,0.4,136
21,1,2.5,0.4,136
1,5,2.5,2.0,0
3,4,2.5,1.6,15
4,4,2.5,1.6,30
5,4,2.5,1.6,40
6,4,2.5,1.6,61
7,3,2.5,1.2,78
8,2,2.5,0.8,82
9,2,2.5,0.8,85
10,1,2.5,0.4,88
2,4,2.5,1.6,12
3,4,2.5,1.6,38
4,3,2.5,1.2,52
5,3,2.5,1.2,64
6,3,2.5,1.2,77
7,2,2.5,0.8,89
8,2,2.5,0.8,101
9,2,2.5,0.8,105
10,2,2.5,0.8,108
11,2,2.5,0.8,111
12,2,2.5,0.8,111
13,1,2.5,0.4,111
1,0,2.5,0.0,0
2,5,2.5,2.0,7
3,4,2.5,1.6,14
4,4,2.5,1.6,25
5,4,2.5,1.6,45
6,3,2.5,1.2,65
7,3,2.5,1.2,67
8,3,2.5,1.2,73
9,3,2.5,1.2,80
10,3,2.5,1.2,85
11,2,2.5,0.8,90
12,2,2.5,0.8,95
13,2,2.5,0.8,99
14,1,2.5,0.4,102
15,1,2.5,0.4,105
16,1,2.5,0.4,106
17,1,2.5,0.4,0
18,1,2.5,0.4,0
1,0,2.5,0.0,0
2,5,2.5,2.0,7
3,3,2.5,1.2,25
4,2,2.5,0.8,34
5,5,2.5,2.0,57
6,1,2.5,0.4,76
7,1,2.5,0.4,82
8,1,2.5,0.4,87
9,1,2.5,0.4,92
10,1,2.5,0.4,98
11,1,2.5,0.4,105
12,1,2.5,0.4,112
13,1,2.5,0.4,118
14,1,2.5,0.4,120
15,1,2.5,0.4,121
16,1,2.5,0.4,121
2,5,2.5,2.0,12
3,5,2.5,2.0,44
4,5,2.5,2.0,66
5,5,2.5,2.0,94
6,3,2.5,1.2,121
7,2,2.5,0.8,126
8,1,2.5,0.4,133
9,1,2.5,0.4,138
10,1,2.5,0.4,143
11,1,2.5,0.4,148
12,1,2.5,0.4,155
13,1,2.5,0.4,159
14,1,2.5,0.4,161
15,1,2.5,0.4,162
16,1,2.5,0.4,163
17,1,2.5,0.4,163
1,5,2.5,2.0,0
2,5,2.5,2.0,16
3,5,2.5,2.0,33
4,2,2.5,0.8,45
5,2,2.5,0.8,52
6,2,2.5,0.8,60
7,2,2.5,0.8,67
8,1,2.5,0.4,70
9,1,2.5,0.4,73
10,1,2.5,0.4,75
1,5,2.5,2.0,0
2,5,2.5,2.0,12
3,5,2.5,2.0,27
4,4,2.5,1.6,35
5,3,2.5,1.2,42
6,3,2.5,1.2,47
7,3,2.5,1.2,53
8,3,2.5,1.2,59
9,3,2.5,1.2,63
1,5,2.5,2.0,0
2,5,2.5,2.0,15
3,5,2.5,2.0,26
4,5,2.5,2.0,36
5,5,2.5,2.0,49
6,5,2.5,2.0,65
7,5,2.5,2.0,76
8,5,2.5,2.0,90
9,5,2.5,2.0,98
10,5,2.5,2.0,109
11,4,2.5,1.6,113
12,4,2.5,1.6,123
13,3,2.5,1.2,130
1,5,2.5,2.0,12
2,4,2.5,1.6,22
3,4,2.5,1.6,32
4,4,2.5,1.6,42
5,4,2.5,1.6,51
6,4,2.5,1.6,57
7,4,2.5,1.6,60
8,2,2.5,0.8,61
9,1,2.5,0.4,61
1,5,2.5,2.0,0
2,4,2.5,1.6,8
3,3,2.5,1.2,26
1,5,2.5,2.0,0
2,4,2.5,1.6,9
3,4,2.5,1.6,27
1,5,2.5,2.0,5
2,5,2.5,2.0,14
3,5,2.5,2.0,36
4,5,2.5,2.0,57
1,5,2.5,2.0,3
2,5,2.5,2.0,16
3,5,2.5,2.0,37
1,5,2.5,2.0,1
2,5,2.5,2.0,14
3,5,2.5,2.0,35
1,5,2.5,2.0,5
2,5,2.5,2.0,14
3,4,2.5,1.6,33
1,5,2.5,2.0,10
2,5,2.5,2.0,31
1,5,2.5,2.0,5
2,5,2.5,2.0,17
1,5,2.5,2.0,5
2,5,2.5,2.0,17
1,5,2.5,2.0,5
2,5,2.5,2.0,18
1,5,2.5,2.0,0
2,5,2.5,2.0,7
1,5,2.5,2.0,5
1,5,2.5,2.0,4
1,10,5.0,2.0,0
2,10,5.0,2.0,41
3,10,5.0,2.0,64
4,9,5.0,1.8,96
5,9,5.0,1.8,121
6,8,5.0,1.6,134
7,7,5.0,1.4,148
8,6,5.0,1.2,167
10,5,5.0,1.0,181
11,5,5.0,1.0,196
12,5,5.0,1.0,214
13,5,5.0,1.0,232
14,5,5.0,1.0,249
15,5,5.0,1.0,271
16,4,5.0,0.8,286
17,4,5.0,0.8,297
18,3,5.0,0.6,306
19,3,5.0,0.6,313
20,2,5.0,0.4,320
21,2,5.0,0.4,331
22,1,5.0,0.2,337
23,1,5.0,0.2,340
24,1,5.0,0.2,342
25,1,5.0,0.2,343
26,1,5.0,0.2,343
1,10,5.0,2.0,27
2,10,5.0,2.0,42
3,9,5.0,1.8,60
4,8,5.0,1.6,74
5,8,5.0,1.6,86
6,7,5.0,1.4,101
7,6,5.0,1.2,118
8,6,5.0,1.2,134
10,5,5.0,1.0,150
11,5,5.0,1.0,162
12,5,5.0,1.0,167
13,5,5.0,1.0,173
14,4,5.0,0.8,178
15,3,5.0,0.6,189
16,3,5.0,0.6,195
17,3,5.0,0.6,204
18,3,5.0,0.6,211
19,3,5.0,0.6,219
20,3,5.0,0.6,232
21,2,5.0,0.4,240
22,2,5.0,0.4,247
23,2,5.0,0.4,253
24,2,5.0,0.4,256
25,1,5.0,0.2,257
1,10,5.0,2.0,0
2,10,5.0,2.0,40
3,10,5.0,2.0,63
4,9,5.0,1.8,92
5,9,5.0,1.8,118
6,8,5.0,1.6,133
7,8,5.0,1.6,147
9,7,5.0,1.4,171
10,6,5.0,1.2,185
11,5,5.0,1.0,202
12,5,5.0,1.0,224
13,5,5.0,1.0,243
14,5,5.0,1.0,262
15,4,5.0,0.8,293
16,4,5.0,0.8,309
17,3,5.0,0.6,320
18,3,5.0,0.6,330
19,2,5.0,0.4,338
20,2,5.0,0.4,346
21,2,5.0,0.4,359
22,1,5.0,0.2,365
23,1,5.0,0.2,369
24,1,5.0,0.2,372
25,1,5.0,0.2,374
1,10,5.0,2.0,0
2,10,5.0,2.0,37
3,10,5.0,2.0,61
4,9,5.0,1.8,91
5,8,5.0,1.6,114
